region,latitude,longitude,price_czk,area_m2,vlastnictvi,energ_stitek,dist_vecerka_m,dist_obchod_m,dist_tram_m,dist_metro_m,dist_bus_mhd_m,url,construction,condition,floor,city,district,heating,rooms,kitchen,price_per_m2
Ústecký kraj,50.67992595,14.11700659,999000.0,62,1,1.0,144.0,,,,122.0,https://www.sreality.cz/detail/prodej/byt/2+1/usti-nad-labem-mojzir-jindricha-plachty/3005375308,Panelová,3.0,3.0,Ústí nad Labem,Mojžíř,,2.0,1.0,16112.90322580645
Královéhradecký kraj,50.54752789,16.34196908,999000.0,56,1,1.0,591.0,3877.0,,,434.0,https://www.sreality.cz/detail/prodej/byt/2+kk/martinkovice-martinkovice-/1832308812,Cihlová,3.0,3.0,Martínkovice, Náchod,Kamna,2.0,0.0,17839.285714285714
Ústecký kraj,50.6794982,14.1157325,1010000.0,68,2,1.0,153.0,,,,121.0,https://www.sreality.cz/detail/prodej/byt/2+1/usti-nad-labem-mojzir-jindricha-plachty/3639529548,Panelová,3.0,1.0,Ústí nad Labem,Mojžíř,Centrální dálkové,2.0,1.0,14852.941176470587
Královéhradecký kraj,50.16264053,16.46672993,1050000.0,66,1,1.0,38.0,,,,177.0,https://www.sreality.cz/detail/prodej/byt/2+kk/rokytnice-v-orlickych-horach-rokytnice-v-orlickych-horach-j-v-sladka/2495590476,Cihlová,2.0,1.0,Rokytnice v Orlických horách, Rychnov nad Kněžnou,Ústřední plynové,2.0,0.0,15909.09090909091
Ústecký kraj,50.68651029,13.88124277,1050000.0,63,2,1.0,244.0,3090.0,,,248.0,https://www.sreality.cz/detail/prodej/byt/2+1/krupka-marsov-karla-capka/3582411596,Panelová,3.0,8.0,Krupka,Maršov,Ústřední dálkové,2.0,1.0,16666.666666666668
Ústecký kraj,50.68697216,13.87969121,1050000.0,68,2,1.0,282.0,3096.0,,,291.0,https://www.sreality.cz/detail/prodej/byt/3+1/krupka-marsov-dukelskych-hrdinu/1598505804,Panelová,5.0,4.0,Krupka,Maršov,Ústřední dálkové,3.0,1.0,15441.176470588236
Moravskoslezský kraj,50.11160474,17.59951684,1050000.0,70,1,1.0,190.0,,,,180.0,https://www.sreality.cz/detail/prodej/byt/3+1/hostalkovy-hostalkovy-/566829900,Panelová,2.0,3.0,Hošťálkovy, Bruntál,,3.0,1.0,15000.0
Ústecký kraj,50.59388598,13.56414502,1050000.0,86,2,1.0,51.0,2888.0,2996.0,,134.0,https://www.sreality.cz/detail/prodej/byt/4+1/litvinov-janov-lucni/3431977036,Panelová,5.0,8.0,Litvínov,Janov,,4.0,1.0,12209.302325581395
Ústecký kraj,50.67992595,14.11700659,1050000.0,75,1,1.0,107.0,,,,84.0,https://www.sreality.cz/detail/prodej/byt/3+1/usti-nad-labem-mojzir-jindricha-plachty/101765196,Panelová,2.0,6.0,Ústí nad Labem,Mojžíř,,3.0,1.0,14000.0
Ústecký kraj,50.48602583,13.43351619,1060000.0,36,2,1.0,152.0,789.0,,,97.0,https://www.sreality.cz/detail/prodej/byt/1+1/chomutov-chomutov-zahradni/2371469388,Panelová,3.0,3.0,Chomutov,Chomutov,Centrální dálkové,1.0,1.0,29444.444444444445
